Asset,Month,Dividend_Per_Share,Income_on_100k_Initial_Investment
JBND,2013-03,0.12828357889576664,218.15008653387738
JBND,2013-04,0.12828357889576664,218.15008653387738
JBND,2013-05,0.12828357889576664,218.15008653387738
JBND,2013-06,0.13341492205159727,226.87608999523243
JBND,2013-07,0.13341492205159727,226.87608999523243
JBND,2013-08,0.13341492205159727,226.87608999523243
JBND,2013-09,0.13341492205159727,226.87608999523243
JBND,2013-10,0.15394029467491996,261.7801038406528
JBND,2013-11,0.13341492205159727,226.87608999523243
JBND,2013-12,0.48747759980391314,828.970328828734
JBND,2014-01,0.11288954942827463,191.97207614981207
JBND,2014-02,0.1180208925841053,200.69807961116717
JBND,2014-03,0.13341492205159727,226.87608999523243
JBND,2014-04,0.11288954942827463,191.97207614981207
JBND,2014-05,0.12828357889576664,218.15008653387738
JBND,2014-06,0.14367760836325863,244.32809691794267
JBND,2014-07,0.13854626520742797,235.60209345658757
JBND,2014-08,0.12315223573993596,209.42408307252228
JBND,2014-09,0.12315223573993596,209.42408307252228
JBND,2014-10,0.12315223573993596,209.42408307252228
JBND,2014-11,0.1180208925841053,200.69807961116717
JBND,2014-12,0.2257790988565493,383.9441522996242
JBND,2015-01,0.10775820627244397,183.246072688457
JBND,2015-02,0.09749551996078264,165.7940657657468
JBND,2015-03,0.1026268631166133,174.52006922710189
JBND,2015-04,0.10775820627244397,183.246072688457
JBND,2015-05,0.11288954942827463,191.97207614981207
JBND,2015-06,0.12828357889576664,218.15008653387738
JBND,2015-07,0.11288954942827463,191.97207614981207
JBND,2015-08,0.1180208925841053,200.69807961116717
JBND,2015-09,0.1180208925841053,200.69807961116717
JBND,2015-10,0.13854626520742797,235.60209345658757
JBND,2015-11,0.12315223573993596,209.42408307252228
JBND,2015-12,0.2360417851682106,401.39615922233435
JBND,2016-01,0.10775820627244397,183.246072688457
JBND,2016-02,0.10775820627244397,183.246072688457
JBND,2016-03,0.12315223573993596,209.42408307252228
JBND,2016-04,0.12315223573993596,209.42408307252228
JBND,2016-05,0.12315223573993596,209.42408307252228
JBND,2016-06,0.10775820627244397,183.246072688457
JBND,2016-07,0.12315223573993596,209.42408307252228
JBND,2016-08,0.12828357889576664,218.15008653387738
JBND,2016-09,0.12315223573993596,209.42408307252228
JBND,2016-10,0.12315223573993596,209.42408307252228
JBND,2016-11,0.12828357889576664,218.15008653387738
JBND,2016-12,0.3540626777523158,602.0942388335014
JBND,2017-01,0.10775820627244397,183.246072688457
JBND,2017-02,0.12315223573993596,209.42408307252228
