Date,A1V12,EffectiveHolding,MGK Buy Hold,MGV Buy Hold,VOO Benchmark,BIL Buy Hold
2015-03-10,215969.27617916756,MGK,183175.47720185216,167038.2975197509,174668.85767103644,99720.90780841808
2015-03-11,214719.34719387308,MGK,182115.34336059316,167010.2089047659,174260.0074883957,99720.90780841808
2015-03-12,217661.8347403066,MGK,184611.02964530024,168896.12389319405,176508.66623457524,99699.08340607274
2015-03-13,216255.60304146406,MGK,183418.3268356739,168051.71349526555,175430.83084173175,99720.90780841808
2015-03-16,219276.24194467158,MGK,185980.29760456464,170050.2557880533,177828.1357096118,99720.90780841808
2015-03-17,219172.01732438538,MGK,185891.8989448346,169262.10878149047,177224.1799417134,99720.90780841808
2015-03-18,221671.77948770687,MGK,188012.08536791487,171345.146682955,179333.4085221878,99720.90780841808
2015-03-19,221411.3616478926,MGK,187791.2106077463,170134.69395579962,178506.40590918815,99720.90780841808
2015-03-20,223364.29698858835,MGK,189447.60298588965,171626.67904327248,180123.2021443148,99720.90780841808
2015-03-23,222413.84783474266,MGK,188641.47453839995,171620.99239115894,179800.09141745113,99699.08340607274
2015-03-24,221421.68145927746,MGK,187799.96341003606,170346.98127447208,178754.09767032196,99720.90780841808
2015-03-25,217217.76805544965,MGK,184234.3921515456,168506.76054620868,176148.41555021718,99699.08340607274
2015-03-26,216800.03468240233,MGK,183880.08939466826,167968.88367357152,175709.41503962904,99699.08340607274
2015-03-27,217087.25118361128,MGK,184123.69358041155,168365.2117333727,176073.6696599252,99699.08340607274
2015-03-30,219672.17232098672,MGK,186316.10803511893,170545.1812049542,178268.4133376974,99677.24867997982
2015-03-31,217609.4007914798,MGK,184566.55751589435,169214.56205131902,176699.45723369275,99720.90780841808
2015-04-01,216695.59107407613,MGK,183791.50499908061,168506.76054620868,176129.74202140258,99677.24867997982
2015-04-02,217400.66412910487,MGK,184389.51641812114,169044.7235802415,176652.70437827805,99699.08340607274
2015-04-06,218836.65082788205,MGK,185607.45608739986,170120.4486050506,177894.8564696831,99699.08340607274
2015-04-07,218392.77575756007,MGK,185230.98111252065,169780.78602312817,177418.5951931886,99720.90780841808
2015-04-08,219515.52743862616,MGK,186183.2488544741,169865.74115924846,178062.9527457034,99720.90780841808
2015-04-09,220429.41927654482,MGK,186958.37102223444,170828.27883062616,178838.07677495386,99699.08340607274
2015-04-10,221134.3691508011,MGK,187556.27796485505,172158.8836240287,179818.7649462657,99699.08340607274
2015-04-13,220272.82914119426,MGK,186825.558275554,171479.38613739252,179006.1903093187,99677.24867997982
2015-04-14,220011.69959025,MGK,186604.0798738482,171847.43889918478,179333.09787198572,99699.08340607274
2015-04-15,221134.36915080107,MGK,187556.27796485505,172894.96042714798,180154.95749830632,99677.24867997982
2015-04-16,221265.03657691696,MGK,187667.1042293912,172696.83229782892,180089.63466414443,99699.08340607274
2015-04-17,218366.6888072954,MGK,185208.85532848316,170941.52362498798,177997.59539485237,99677.24867997982
2015-04-20,220690.58988774655,MGK,187179.88424941353,172357.09791474344,179622.60660198986,99677.24867997982
2015-04-21,221003.86596571517,MGK,187445.5910022121,171620.99239115894,179445.15630321772,99699.08340607274
2015-04-22,222387.7745712305,MGK,188619.36036285356,172555.26912476035,180332.4768304567,99677.24867997982
2015-04-23,222779.47574102314,MGK,188951.58376965782,173093.1316371649,180799.41860088843,99677.24867997982
2015-04-24,223432.19696774005,MGK,189505.19271023906,173404.59072224144,181163.51789608353,99677.24867997982
2015-04-27,222466.13122929202,MGK,188685.81897440375,172866.68512913905,180444.5007449996,99699.08340607274
2015-04-28,221969.9864511732,MGK,188265.01117201184,174083.98768724935,181004.84467619334,99699.08340607274
2015-04-29,221211.93751077054,MGV,187246.2732100171,173489.47405719868,180267.05044622745,99699.08340607274
2015-04-30,219623.6235666573,MGV,184743.84239198067,172243.8100396838,178473.89118803595,99699.08340607274
2015-05-01,221536.8182438518,MGV,187002.77350069373,173744.2676643965,180341.74456148574,99677.24867997982
2015-05-04,222475.40734252427,MGV,187268.3989940546,174480.37318798096,180902.05397599036,99699.08340607274
2015-05-05,220201.2605213163,MGV,184810.19652711094,172696.83229782892,178791.37569457287,99699.08340607274
2015-05-06,219154.34732768193,MGV,184101.50975391857,171875.77163812416,178072.25499342155,99699.08340607274
2015-05-07,219912.39626808456,MGV,185186.72954444567,172470.28526817483,178791.37569457287,99677.24867997982
2015-05-08,222764.1983543124,MGV,187644.90879440712,174706.86277670463,181135.52486120624,99699.08340607274
2015-05-11,221789.55615506863,MGV,186648.41270136088,173942.4819551112,180267.05044622745,99677.24867997982
2015-05-12,221067.5603152373,MGV,186183.2488544741,173376.24362306946,179744.0708310074,99699.08340607274
2015-05-13,221248.00892170268,MGV,186094.69928435975,173517.7637154402,179800.09141745113,99699.08340607274
2015-05-14,223197.40318235554,MGV,188442.16835469604,175046.61152002274,181677.21252192996,99677.24867997982
2015-05-15,223413.9781308358,MGV,188707.89832447682,175216.46435133286,181864.0513601431,99677.24867997982
2015-05-18,223883.29099053293,MGV,189305.93296049954,175584.53147335773,182424.41254968138,99677.24867997982
2015-05-19,224027.6315653444,MGV,189173.00412890813,175697.73318702172,182331.02764726395,99677.24867997982
2015-05-20,223883.29099053293,MGV,188862.98776557905,175584.53147335773,182209.5634182464,99677.24867997982
2015-05-21,224352.5489191474,MGV,189571.63971329812,175952.55551468473,182760.60510172197,99699.08340607274
2015-05-22,224352.5489191474,MGK,189571.63971329812,175301.40512722053,182359.08971551948,99699.08340607274
2015-05-26,221810.24657775846,MGK,187423.46521817462,173489.47405719868,180397.74788958492,99699.08340607274
2015-05-27,224352.54891914743,MGK,189571.63971329812,175103.19083650582,182060.15792938523,99699.08340607274
2015-05-28,223749.75294918695,MGK,189062.29394928296,174989.9891228418,181892.00987833127,99677.24867997982
2015-05-29,222627.52787201694,MGV,187600.65722633214,174112.32042618873,180705.96466509276,99677.24867997982
2015-06-01,222663.7553349126,MGV,188242.86217099216,174140.6531651281,181126.2053551435,99677.24867997982
2015-06-02,222410.36507238852,MGV,188176.46160189746,173942.4819551112,180939.50458368688,99699.08340607274
2015-06-03,223143.2106459935,MGK,188796.5059370467,174253.88359925733,181434.4911640296,99699.08340607274
2015-06-04,221520.38021893593,MGK,187423.46521817462,172838.32366973447,179958.81641237502,99677.24867997982
2015-06-05,221153.8956905147,MGK,187113.39081239008,172413.69159145912,179594.54453373433,99677.24867997982
2015-06-08,219426.32403737173,MGK,185651.73087245703,171734.2515457534,178483.2452107878,99655.43460138205
2015-06-09,219570.94448825688,MGV,185363.85190165657,171847.43889918478,178436.5441304068,99655.43460138205
2015-06-10,222573.3876145562,MGV,187689.1951879554,174197.30428277425,180556.52465954248,99677.24867997982
2015-06-11,223007.43244913354,MGV,188087.84238083652,174537.0099453945,181116.88584908078,99699.08340607274
2015-06-12,221343.48994349787,MGV,186692.61783547146,173234.72353069868,179790.72013635474,99677.24867997982
2015-06-15,220402.9799597474,MGV,185873.24409963615,172498.6323673468,178959.48922893772,99699.08340607274
2015-06-16,221705.1328116717,MGV,186759.08805551272,173517.7637154402,180005.50023441148,99655.43460138205
2015-06-17,221994.53884717173,MGV,187202.04485892432,173744.2676643965,180313.75152660845,99699.08340607274
